,SEASONAL_NAIVE_MEAN_3_DAYS,SEASONAL_NAIVE_MEAN_7_DAYS,NAIVE_LAST,ACTUAL
2022-03-14 23:00:00,441.4666666666667,461.14428571428573,349.19,476.49
2022-03-15 00:00:00,393.0233333333333,421.1114285714286,476.49,438.08
2022-03-15 01:00:00,401.45666666666665,477.2442857142858,476.49,472.23
2022-03-15 02:00:00,386.44,432.2314285714286,476.49,443.37
2022-03-15 03:00:00,384.9166666666667,428.69,476.49,475.86
2022-03-15 04:00:00,381.2366666666667,462.70142857142855,476.49,475.38
2022-03-15 05:00:00,387.17333333333335,478.73142857142864,476.49,500.91
2022-03-15 06:00:00,405.6233333333334,447.25,476.49,498.01
2022-03-15 07:00:00,432.18,482.04428571428576,476.49,538.9
2022-03-15 08:00:00,422.23333333333335,566.3314285714285,476.49,477.29
2022-03-15 09:00:00,529.75,664.2071428571428,476.49,477.28
2022-03-15 10:00:00,487.83,539.9985714285714,476.49,528.0
2022-03-15 11:00:00,437.7033333333334,480.8185714285714,476.49,505.35
2022-03-15 12:00:00,420.2633333333333,437.17999999999995,476.49,461.5
2022-03-15 13:00:00,340.92,425.76000000000005,476.49,461.74
2022-03-15 14:00:00,361.21000000000004,427.03142857142853,476.49,515.77
2022-03-15 15:00:00,372.42333333333335,427.8114285714285,476.49,515.77
2022-03-15 16:00:00,441.87999999999994,497.2085714285714,476.49,575.89
2022-03-15 17:00:00,557.2166666666667,666.7528571428572,476.49,941.0
2022-03-15 18:00:00,721.9966666666666,832.5071428571428,476.49,776.0
2022-03-15 19:00:00,881.1366666666667,943.1128571428571,476.49,743.0
2022-03-15 20:00:00,779.1966666666667,956.9014285714287,476.49,790.0
2022-03-15 21:00:00,643.35,705.4142857142857,476.49,731.5
2022-03-15 22:00:00,510.5800000000001,490.25000000000006,476.49,580.89
2022-03-15 23:00:00,450.98333333333335,457.6585714285714,476.49,519.39
2022-03-16 00:00:00,400.0,418.5128571428572,519.39,549.38
2022-03-16 01:00:00,411.52666666666664,476.0328571428572,519.39,538.86
2022-03-16 02:00:00,387.98999999999995,424.7085714285714,519.39,537.39
2022-03-16 03:00:00,397.2966666666666,430.65142857142854,519.39,534.12
2022-03-16 04:00:00,395.0166666666667,462.0757142857143,519.39,522.11
2022-03-16 05:00:00,406.18333333333334,478.83714285714285,519.39,541.89
2022-03-16 06:00:00,424.24,449.22857142857146,519.39,541.9
2022-03-16 07:00:00,463.82,485.7528571428572,519.39,565.89
2022-03-16 08:00:00,431.5,517.3728571428571,519.39,699.36
2022-03-16 09:00:00,469.2366666666667,583.7657142857142,519.39,780.13
2022-03-16 10:00:00,482.3833333333334,545.5257142857143,519.39,780.13
2022-03-16 11:00:00,450.1000000000001,483.1114285714286,519.39,713.21
2022-03-16 12:00:00,427.34999999999997,434.09142857142854,519.39,550.89
2022-03-16 13:00:00,379.7966666666667,425.43714285714293,519.39,550.89
2022-03-16 14:00:00,398.68333333333334,437.7285714285714,519.39,550.89
2022-03-16 15:00:00,410.9166666666667,441.33285714285705,519.39,541.9
2022-03-16 16:00:00,463.5466666666666,511.35571428571427,519.39,550.89
2022-03-16 17:00:00,604.5633333333334,688.8185714285713,519.39,685.2
2022-03-16 18:00:00,642.6633333333333,812.6499999999999,519.39,768.21
2022-03-16 19:00:00,777.4699999999999,884.2014285714287,519.39,780.13
2022-03-16 20:00:00,694.2199999999999,934.4728571428574,519.39,780.13
2022-03-16 21:00:00,568.8733333333333,692.7714285714285,519.39,749.43
2022-03-16 22:00:00,450.58,505.10999999999996,519.39,564.88
2022-03-16 23:00:00,448.35666666666674,462.52428571428567,519.39,550.89
2022-03-17 00:00:00,443.5566666666667,431.0942857142858,550.89,541.89
2022-03-17 01:00:00,456.3866666666666,437.27000000000004,550.89,474.41
2022-03-17 02:00:00,446.32333333333327,427.4085714285714,550.89,460.84
2022-03-17 03:00:00,457.1366666666666,433.3985714285714,550.89,460.87
2022-03-17 04:00:00,451.18666666666667,431.8171428571428,550.89,460.84
2022-03-17 05:00:00,466.95666666666665,439.3442857142857,550.89,460.8
2022-03-17 06:00:00,483.8,447.9414285714287,550.89,462.02
2022-03-17 07:00:00,521.46,483.60714285714283,550.89,522.13
2022-03-17 08:00:00,533.62,477.0828571428571,550.89,545.35
2022-03-17 09:00:00,598.29,541.1828571428571,550.89,574.29
2022-03-17 10:00:00,604.4499999999999,520.1757142857143,550.89,670.89
2022-03-17 11:00:00,570.3433333333334,479.3557142857143,550.89,534.66
2022-03-17 12:00:00,499.60666666666674,440.52,550.89,493.02
2022-03-17 13:00:00,477.66333333333336,409.8171428571428,550.89,493.54
2022-03-17 14:00:00,493.3733333333333,419.6057142857143,550.89,534.68
2022-03-17 15:00:00,502.6499999999999,432.6328571428571,550.89,534.68
2022-03-17 16:00:00,535.6233333333333,493.21428571428567,550.89,655.2
2022-03-17 17:00:00,713.7633333333333,669.5614285714286,550.89,635.35
2022-03-17 18:00:00,754.0666666666666,805.9657142857143,550.89,635.35
2022-03-17 19:00:00,894.6733333333333,878.3628571428571,550.89,590.77
2022-03-17 20:00:00,833.98,832.92,550.89,612.0
2022-03-17 21:00:00,702.17,701.2042857142858,550.89,534.67
2022-03-17 22:00:00,522.0433333333334,516.8742857142857,550.89,502.34
2022-03-17 23:00:00,515.59,477.97142857142853,550.89,476.44
2022-03-18 00:00:00,509.7833333333333,447.09142857142854,476.44,457.87
2022-03-18 01:00:00,495.1666666666667,445.22714285714284,476.44,460.47
2022-03-18 02:00:00,480.5333333333333,433.06857142857143,476.44,460.45
2022-03-18 03:00:00,490.2833333333333,436.60714285714283,476.44,460.45
2022-03-18 04:00:00,486.10999999999996,433.22857142857146,476.44,480.87
2022-03-18 05:00:00,501.2,440.3171428571428,476.44,487.89
2022-03-18 06:00:00,500.64333333333326,451.51000000000005,476.44,487.89
2022-03-18 07:00:00,542.3066666666667,489.3385714285714,476.44,519.58
2022-03-18 08:00:00,574.0,494.81714285714287,476.44,545.35
2022-03-18 09:00:00,610.5666666666666,563.0514285714286,476.44,573.45
2022-03-18 10:00:00,659.6733333333333,556.2028571428572,476.44,522.4
2022-03-18 11:00:00,584.4066666666666,500.97285714285715,476.44,485.93
2022-03-18 12:00:00,501.8033333333333,454.4042857142857,476.44,506.39
2022-03-18 13:00:00,502.0566666666667,420.50857142857143,476.44,484.97
2022-03-18 14:00:00,533.7799999999999,442.8,476.44,490.66
2022-03-18 15:00:00,530.7833333333333,448.8428571428571,476.44,503.37
2022-03-18 16:00:00,593.9933333333333,513.0628571428571,476.44,577.7
2022-03-18 17:00:00,753.85,648.6557142857143,476.44,716.46
2022-03-18 18:00:00,726.52,745.4442857142858,476.44,752.0
2022-03-18 19:00:00,704.6333333333333,812.9014285714285,476.44,744.94
2022-03-18 20:00:00,727.3766666666667,778.96,476.44,969.74
2022-03-18 21:00:00,671.8666666666667,677.4585714285714,476.44,740.82
2022-03-18 22:00:00,549.37,523.3814285714286,476.44,639.05
2022-03-18 23:00:00,515.5733333333334,478.23,476.44,588.89
2022-03-19 00:00:00,516.38,452.3271428571428,588.89,519.48
2022-03-19 01:00:00,491.24666666666667,450.04857142857145,588.89,560.91
2022-03-19 02:00:00,486.2266666666667,437.3385714285714,588.89,500.63
2022-03-19 03:00:00,485.1466666666667,440.8642857142857,588.89,495.03
2022-03-19 04:00:00,487.94000000000005,440.41571428571433,588.89,489.52
2022-03-19 05:00:00,496.85999999999996,450.43,588.89,495.05
2022-03-19 06:00:00,497.27,458.09857142857146,588.89,495.03
2022-03-19 07:00:00,535.8666666666667,491.86285714285714,588.89,495.69
2022-03-19 08:00:00,596.6866666666666,504.8642857142857,588.89,495.07
2022-03-19 09:00:00,642.6233333333333,570.6285714285714,588.89,500.63
2022-03-19 10:00:00,657.8066666666667,566.4157142857142,588.89,529.32
2022-03-19 11:00:00,577.9333333333333,507.4657142857142,588.89,459.0
2022-03-19 12:00:00,516.7666666666665,467.5128571428571,588.89,377.66
2022-03-19 13:00:00,509.8,430.5571428571428,588.89,373.66
2022-03-19 14:00:00,525.41,453.66142857142853,588.89,355.37
2022-03-19 15:00:00,526.65,458.9985714285714,588.89,356.99
2022-03-19 16:00:00,594.5966666666667,526.4742857142857,588.89,366.09
2022-03-19 17:00:00,679.0033333333334,664.2371428571429,588.89,418.43
2022-03-19 18:00:00,718.52,728.2214285714286,588.89,530.33
2022-03-19 19:00:00,705.2800000000001,786.0357142857143,588.89,628.53
2022-03-19 20:00:00,787.29,784.2085714285714,588.89,538.0
2022-03-19 21:00:00,674.9733333333334,669.4957142857144,588.89,493.29
2022-03-19 22:00:00,568.7566666666667,545.5571428571429,588.89,418.44
2022-03-19 23:00:00,538.7399999999999,498.36571428571426,588.89,418.43
2022-03-20 00:00:00,506.41333333333336,466.94571428571425,418.43,378.23
2022-03-20 01:00:00,498.59666666666664,467.0328571428571,418.43,386.71
2022-03-20 02:00:00,473.97333333333336,446.18285714285713,418.43,392.11
2022-03-20 03:00:00,472.1166666666666,448.9085714285714,418.43,398.68
